ReservationID,ReaderID,CopyID,ReservationDate,Status
1,1,1,2023-12-9,Cancelled
2,4,2,2024-3-8,Cancelled
3,9,3,2023-8-15,Pending
4,10,4,2024-2-24,Cancelled
5,13,5,2024-7-19,Completed
6,15,6,2024-4-17,Cancelled
7,18,7,2024-1-29,Cancelled
8,21,8,2024-11-20,Completed
9,24,9,2023-11-17,Pending
10,30,10,2025-5-4,Completed
11,33,11,2024-8-20,Cancelled
12,37,12,2024-4-27,Cancelled
13,40,13,2024-4-3,Completed
14,41,14,2024-12-27,Cancelled
15,46,15,2025-3-16,Cancelled
16,49,16,2024-10-7,Pending
17,51,17,2024-4-2,Pending
18,52,18,2024-4-26,Completed
19,54,19,2023-10-31,Cancelled
20,55,20,2023-5-21,Cancelled
21,57,21,2024-12-23,Pending
22,60,22,2024-6-10,Cancelled
23,61,23,2025-4-11,Completed
24,62,24,2023-11-21,Cancelled
25,66,25,2024-4-10,Pending
26,67,26,2025-4-24,Pending
27,71,27,2025-3-20,Pending
28,74,28,2025-4-22,Pending
29,78,29,2023-6-4,Cancelled
30,79,30,2024-3-6,Completed
31,81,31,2024-8-3,Cancelled
32,86,32,2025-3-16,Completed
33,88,33,2024-5-24,Completed
34,91,34,2023-10-8,Cancelled
35,92,35,2023-7-16,Pending
36,94,36,2023-10-28,Cancelled
37,96,37,2023-10-20,Cancelled
38,100,38,2024-2-21,Completed
39,102,39,2024-11-17,Cancelled
40,105,40,2024-4-10,Completed
41,109,41,2024-9-30,Pending
42,111,42,2025-1-24,Completed
43,114,43,2024-6-12,Completed
44,116,44,2024-1-31,Cancelled
45,117,45,2023-7-10,Pending
46,120,46,2023-11-21,Completed
47,128,47,2024-4-17,Pending
48,129,48,2024-11-26,Cancelled
49,132,49,2024-2-15,Pending
50,133,50,2025-5-1,Cancelled
51,135,51,2024-10-16,Cancelled
52,139,52,2025-2-20,Completed
53,141,53,2025-1-14,Completed
54,143,54,2023-10-2,Pending
55,146,55,2024-11-18,Cancelled
56,150,56,2025-4-26,Completed
57,153,57,2024-7-14,Cancelled
58,157,58,2024-3-9,Cancelled
59,162,59,2023-11-11,Cancelled
60,164,60,2024-7-3,Pending
61,166,61,2023-7-8,Pending
62,170,62,2025-5-2,Pending
63,174,63,2024-2-24,Pending
64,175,64,2024-12-30,Cancelled
65,178,65,2023-10-3,Completed
